stride,level,lambda_pre,lambda_post,delta_lambda,chees_L,accept_pct
27,1,0.0,0.2,0.2,64,84.0
27,2,0.2,0.4,0.2,64,74.0
27,3,0.4,0.6,0.2,32,79.0
27,4,0.6,0.8,0.2,32,69.0
27,5,0.8,1.0,0.2,64,52.0
28,1,0.0,0.2,0.2,64,80.0
28,2,0.2,0.4,0.2,64,69.0
28,3,0.4,0.6,0.2,32,72.0
28,4,0.6,0.8,0.2,32,68.0
28,5,0.8,1.0,0.2,64,47.0
29,1,0.0,0.2,0.2,64,85.0
29,2,0.2,0.4,0.2,64,73.0
29,3,0.4,0.6,0.2,64,63.0
29,4,0.6,0.8,0.2,32,68.0
29,5,0.8,1.0,0.2,32,63.0
30,1,0.0,0.2,0.2,64,87.0
30,2,0.2,0.4,0.2,64,78.0
30,3,0.4,0.6,0.2,64,70.0
30,4,0.6,0.8,0.2,64,63.0
30,5,0.8,1.0,0.2,32,73.0
31,1,0.0,0.2,0.2,64,62.0
31,2,0.2,0.4,0.2,32,67.0
31,3,0.4,0.6,0.2,16,68.0
31,4,0.6,0.8,0.2,64,32.0
31,5,0.8,1.0,0.2,32,42.0
32,1,0.0,0.2,0.2,64,73.0
32,2,0.2,0.4,0.2,64,58.0
32,3,0.4,0.6,0.2,32,59.0
32,4,0.6,0.8,0.2,16,65.0
32,5,0.8,1.0,0.2,64,26.0
33,1,0.0,0.2,0.2,64,85.0
33,2,0.2,0.4,0.2,64,80.0
33,3,0.4,0.6,0.2,64,69.0
33,4,0.6,0.8,0.2,64,64.0
33,5,0.8,1.0,0.2,32,70.0
34,1,0.0,0.2,0.2,64,84.0
34,2,0.2,0.4,0.2,16,86.0
34,3,0.4,0.6,0.2,64,64.0
34,4,0.6,0.8,0.2,64,49.0
34,5,0.8,1.0,0.2,32,60.0
35,1,0.0,0.2,0.2,64,90.0
35,2,0.2,0.4,0.2,64,82.0
35,3,0.4,0.6,0.2,64,74.0
35,4,0.6,0.8,0.2,64,68.0
35,5,0.8,1.0,0.2,32,74.0
36,1,0.0,0.2,0.2,64,85.0
36,2,0.2,0.4,0.2,64,77.0
36,3,0.4,0.6,0.2,64,68.0
36,4,0.6,0.8,0.2,64,59.0
36,5,0.8,1.0,0.2,64,54.0
37,1,0.0,0.2,0.2,64,75.0
37,2,0.2,0.4,0.2,32,71.0
37,3,0.4,0.6,0.2,64,45.0
37,4,0.6,0.8,0.2,64,33.0
37,5,0.8,1.0,0.2,32,43.0
38,1,0.0,0.2,0.2,64,86.0
38,2,0.2,0.4,0.2,64,73.0
38,3,0.4,0.6,0.2,64,65.0
38,4,0.6,0.8,0.2,64,58.0
38,5,0.8,1.0,0.2,64,54.0
39,1,0.0,0.2,0.2,64,78.0
39,2,0.2,0.4,0.2,64,72.0
39,3,0.4,0.6,0.2,64,63.0
39,4,0.6,0.8,0.2,64,59.0
39,5,0.8,1.0,0.2,64,50.0
40,1,0.0,0.2,0.2,64,88.0
40,2,0.2,0.4,0.2,32,86.0
40,3,0.4,0.6,0.2,64,74.0
40,4,0.6,0.8,0.2,64,70.0
40,5,0.8,1.0,0.2,64,64.0
41,1,0.0,0.2,0.2,64,88.0
41,2,0.2,0.4,0.2,64,81.0
41,3,0.4,0.6,0.2,64,73.0
41,4,0.6,0.8,0.2,64,67.0
41,5,0.8,1.0,0.2,64,61.0
42,1,0.0,0.2,0.2,64,82.0
42,2,0.2,0.4,0.2,64,72.0
42,3,0.4,0.6,0.2,64,63.0
42,4,0.6,0.8,0.2,64,56.0
42,5,0.8,1.0,0.2,32,64.0
43,1,0.0,0.2,0.2,32,91.0
43,2,0.2,0.4,0.2,64,75.0
43,3,0.4,0.6,0.2,64,66.0
43,4,0.6,0.8,0.2,32,68.0
43,5,0.8,1.0,0.2,32,63.0
44,1,0.0,0.2,0.2,64,80.0
44,2,0.2,0.4,0.2,32,75.0
44,3,0.4,0.6,0.2,64,53.0
44,4,0.6,0.8,0.2,64,44.0
44,5,0.8,1.0,0.2,32,52.0
45,1,0.0,0.2,0.2,64,79.0
45,2,0.2,0.4,0.2,64,70.0
45,3,0.4,0.6,0.2,64,61.0
45,4,0.6,0.8,0.2,64,55.0
45,5,0.8,1.0,0.2,32,60.0
46,1,0.0,0.2,0.2,64,84.0
46,2,0.2,0.4,0.2,64,75.0
46,3,0.4,0.6,0.2,64,68.0
46,4,0.6,0.8,0.2,64,62.0
46,5,0.8,1.0,0.2,64,55.0
47,1,0.0,0.2,0.2,64,62.0
47,2,0.2,0.4,0.2,32,63.0
47,3,0.4,0.6,0.2,64,34.0
47,4,0.6,0.8,0.2,32,44.0
47,5,0.8,1.0,0.2,16,52.0
48,1,0.0,0.2,0.2,32,76.0
48,2,0.2,0.4,0.2,32,59.0
48,3,0.4,0.6,0.2,32,42.0
48,4,0.6,0.8,0.2,64,15.0
48,5,0.8,1.0,0.2,16,44.0
49,1,0.0,0.2,0.2,64,80.0
49,2,0.2,0.4,0.2,32,77.0
49,3,0.4,0.6,0.2,32,68.0
49,4,0.6,0.8,0.2,32,62.0
49,5,0.8,1.0,0.2,64,35.0
50,1,0.0,0.2,0.2,64,71.0
50,2,0.2,0.4,0.2,64,56.0
50,3,0.4,0.6,0.2,32,59.0
50,4,0.6,0.8,0.2,32,50.0
50,5,0.8,1.0,0.2,64,27.0
51,1,0.0,0.2,0.2,64,57.0
51,2,0.2,0.4,0.2,16,60.0
51,3,0.4,0.6,0.2,32,30.0
51,4,0.6,0.8,0.2,8,50.0
51,5,0.8,1.0,0.2,32,12.0
52,1,0.0,0.2,0.2,32,80.0
52,2,0.2,0.4,0.2,64,48.0
52,3,0.4,0.6,0.2,32,56.0
52,4,0.6,0.8,0.2,32,48.0
52,5,0.8,1.0,0.2,64,25.0
53,1,0.0,0.2,0.2,64,66.0
53,2,0.2,0.4,0.2,64,48.0
53,3,0.4,0.6,0.2,32,53.0
53,4,0.6,0.8,0.2,32,44.0
53,5,0.8,1.0,0.2,32,36.0
54,1,0.0,0.2,0.2,64,83.0
54,2,0.2,0.4,0.2,64,67.0
54,3,0.4,0.6,0.2,64,58.0
54,4,0.6,0.8,0.2,64,51.0
54,5,0.8,1.0,0.2,64,44.0
55,1,0.0,0.2,0.2,64,74.0
55,2,0.2,0.4,0.2,64,63.0
55,3,0.4,0.6,0.2,64,54.0
55,4,0.6,0.8,0.2,64,46.0
55,5,0.8,1.0,0.2,32,55.0
56,1,0.0,0.2,0.2,64,83.0
56,2,0.2,0.4,0.2,64,69.0
56,3,0.4,0.6,0.2,64,59.0
56,4,0.6,0.8,0.2,32,64.0
56,5,0.8,1.0,0.2,32,54.0
57,1,0.0,0.2,0.2,64,78.0
57,2,0.2,0.4,0.2,32,71.0
57,3,0.4,0.6,0.2,64,48.0
57,4,0.6,0.8,0.2,32,55.0
57,5,0.8,1.0,0.2,64,31.0
58,1,0.0,0.2,0.2,64,82.0
58,2,0.2,0.4,0.2,32,77.0
58,3,0.4,0.6,0.2,64,58.0
58,4,0.6,0.8,0.2,64,48.0
58,5,0.8,1.0,0.2,32,57.0
59,1,0.0,0.2,0.2,64,61.0
59,2,0.2,0.4,0.2,64,43.0
59,3,0.4,0.6,0.2,32,44.0
59,4,0.6,0.8,0.2,32,33.0
59,5,0.8,1.0,0.2,32,25.0
60,1,0.0,0.2,0.2,64,74.0
60,2,0.2,0.4,0.2,64,57.0
60,3,0.4,0.6,0.2,32,63.0
60,4,0.6,0.8,0.2,32,57.0
60,5,0.8,1.0,0.2,16,65.0
61,1,0.0,0.2,0.2,64,74.0
61,2,0.2,0.4,0.2,32,68.0
61,3,0.4,0.6,0.2,32,59.0
61,4,0.6,0.8,0.2,32,50.0
61,5,0.8,1.0,0.2,64,28.0
62,1,0.0,0.2,0.2,64,76.0
62,2,0.2,0.4,0.2,64,65.0
62,3,0.4,0.6,0.2,32,70.0
62,4,0.6,0.8,0.2,16,74.0
62,5,0.8,1.0,0.2,32,59.0
63,1,0.0,0.2,0.2,64,71.0
63,2,0.2,0.4,0.2,32,65.0
63,3,0.4,0.6,0.2,64,40.0
63,4,0.6,0.8,0.2,16,62.0
63,5,0.8,1.0,0.2,16,55.0
64,1,0.0,0.2,0.2,64,53.0
64,2,0.2,0.4,0.2,16,67.0
64,3,0.4,0.6,0.2,32,40.0
64,4,0.6,0.8,0.2,32,33.0
64,5,0.8,1.0,0.2,64,10.0
65,1,0.0,0.2,0.2,64,71.0
65,2,0.2,0.4,0.2,32,71.0
65,3,0.4,0.6,0.2,64,49.0
65,4,0.6,0.8,0.2,64,44.0
65,5,0.8,1.0,0.2,32,53.0
66,1,0.0,0.2,0.2,64,65.0
66,2,0.2,0.4,0.2,64,58.0
66,3,0.4,0.6,0.2,32,63.0
66,4,0.6,0.8,0.2,64,40.0
66,5,0.8,1.0,0.2,64,35.0
67,1,0.0,0.2,0.2,64,76.0
67,2,0.2,0.4,0.2,16,80.0
67,3,0.4,0.6,0.2,64,50.0
67,4,0.6,0.8,0.2,64,37.0
67,5,0.8,1.0,0.2,16,60.0
68,1,0.0,0.2,0.2,64,71.0
68,2,0.2,0.4,0.2,64,48.0
68,3,0.4,0.6,0.2,64,36.0
68,4,0.6,0.8,0.2,16,56.0
68,5,0.8,1.0,0.2,32,32.0
69,1,0.0,0.2,0.2,64,72.0
69,2,0.2,0.4,0.2,64,55.0
69,3,0.4,0.6,0.2,64,41.0
69,4,0.6,0.8,0.2,32,51.0
69,5,0.8,1.0,0.2,32,43.0
70,1,0.0,0.2,0.2,64,75.0
70,2,0.2,0.4,0.2,64,65.0
70,3,0.4,0.6,0.2,32,70.0
70,4,0.6,0.8,0.2,64,52.0
70,5,0.8,1.0,0.2,64,47.0
71,1,0.0,0.2,0.2,64,76.0
71,2,0.2,0.4,0.2,64,65.0
71,3,0.4,0.6,0.2,64,55.0
71,4,0.6,0.8,0.2,32,61.0
71,5,0.8,1.0,0.2,32,52.0
72,1,0.0,0.2,0.2,64,64.0
72,2,0.2,0.4,0.2,64,57.0
72,3,0.4,0.6,0.2,32,63.0
72,4,0.6,0.8,0.2,64,41.0
72,5,0.8,1.0,0.2,32,50.0
73,1,0.0,0.2,0.2,64,75.0
73,2,0.2,0.4,0.2,64,54.0
73,3,0.4,0.6,0.2,64,41.0
73,4,0.6,0.8,0.2,64,31.0
73,5,0.8,1.0,0.2,64,18.0
74,1,0.0,0.2,0.2,64,68.0
74,2,0.2,0.4,0.2,64,56.0
74,3,0.4,0.6,0.2,16,73.0
74,4,0.6,0.8,0.2,32,52.0
74,5,0.8,1.0,0.2,32,46.0
75,1,0.0,0.2,0.2,64,73.0
75,2,0.2,0.4,0.2,64,61.0
75,3,0.4,0.6,0.2,32,62.0
75,4,0.6,0.8,0.2,64,42.0
75,5,0.8,1.0,0.2,64,37.0
76,1,0.0,0.2,0.2,32,85.0
76,2,0.2,0.4,0.2,64,65.0
76,3,0.4,0.6,0.2,32,67.0
76,4,0.6,0.8,0.2,64,46.0
76,5,0.8,1.0,0.2,64,39.0
77,1,0.0,0.2,0.2,32,86.0
77,2,0.2,0.4,0.2,64,63.0
77,3,0.4,0.6,0.2,64,53.0
77,4,0.6,0.8,0.2,32,59.0
77,5,0.8,1.0,0.2,64,36.0
78,1,0.0,0.2,0.2,64,73.0
78,2,0.2,0.4,0.2,64,57.0
78,3,0.4,0.6,0.2,64,44.0
78,4,0.6,0.8,0.2,32,52.0
78,5,0.8,1.0,0.2,64,29.0
79,1,0.0,0.2,0.2,64,70.0
79,2,0.2,0.4,0.2,64,52.0
79,3,0.4,0.6,0.2,64,42.0
79,4,0.6,0.8,0.2,32,49.0
79,5,0.8,1.0,0.2,64,26.0
80,1,0.0,0.2,0.2,64,81.0
80,2,0.2,0.4,0.2,64,69.0
80,3,0.4,0.6,0.2,64,57.0
80,4,0.6,0.8,0.2,32,64.0
80,5,0.8,1.0,0.2,16,70.0
81,1,0.0,0.2,0.2,32,75.0
81,2,0.2,0.4,0.2,32,62.0
81,3,0.4,0.6,0.2,64,32.0
81,4,0.6,0.8,0.2,64,26.0
81,5,0.8,1.0,0.2,64,21.0
82,1,0.0,0.2,0.2,32,82.0
82,2,0.2,0.4,0.2,64,57.0
82,3,0.4,0.6,0.2,32,62.0
82,4,0.6,0.8,0.2,32,54.0
82,5,0.8,1.0,0.2,64,33.0
